"","born","Died","sex","age_at_debut","ad_cat","mamed","delta"
"69742","1961-09-20",NA,"Male",31,"26+","ne",0
"69743","1901-02-28",1992,"Male",23,"ostatni","ne",1
"69744","1948-11-08",NA,"Male",28,"26+","ano",0
"69745","1883-01-31",1950,"Male",17,"do_22","ano",1
"69746","1889-07-30",1940,"Male",23,"ostatni","ne",1
"69747","1933-08-10",NA,"Male",23,"ostatni","ano",0
"69748","1945-09-24",NA,"Male",23,"ostatni","ne",0
"69749","1961-12-02",NA,"Male",23,"ostatni","ano",0
"69750","1958-12-20",NA,"Male",26,"ostatni","ne",0
"69751","1903-09-23",1967,"Male",21,"do_22","ne",1
"69752","1900-11-16",1986,"Male",24,"ostatni","ano",1
"69753","1893-04-16",1979,"Male",27,"26+","ano",1
"69754","1937-09-22",NA,"Male",23,"ostatni","ne",0
"69755","1901-07-23",1991,"Male",23,"ostatni","ano",1
"69756","1966-07-18",NA,"Male",30,"26+","ano",0
"69757","1914-09-12",1976,"Male",22,"ostatni","ano",1
"69758","1932-01-28",2007,"Male",20,"do_22","ano",1
"69759","1882-10-11",1942,"Male",26,"ostatni","ne",1
"69760","1952-03-29",NA,"Male",32,"26+","ne",0
"69761","1936-09-19",2007,"Male",20,"do_22","ano",1
"69762","1942-05-27",NA,"Male",22,"ostatni","ne",0
"69763","1901-03-02",1978,"Male",31,"26+","ne",1
"69764","1945-06-01",2017,"Male",27,"26+","ne",1
"69765","1891-12-15",1980,"Male",21,"do_22","ne",1
"69766","1958-07-19",NA,"Male",30,"26+","ne",0
"69767","1891-07-12",1966,"Male",29,"26+","ne",1
"69768","1899-04-13",1975,"Male",25,"ostatni","ano",1
"69769","1957-02-23",NA,"Male",27,"26+","ne",0
"69770","1921-06-28",1997,"Male",27,"26+","ne",1
"69771","1910-06-08",1984,"Male",22,"ostatni","ne",1
"69772","1928-10-10",2015,"Male",20,"do_22","ne",1
"69773","1913-09-12",1980,"Male",23,"ostatni","ano",1
"69774","1955-07-05",NA,"Male",21,"do_22","ne",0
"69775","1881-10-13",1925,"Male",23,"ostatni","ne",1
"69776","1916-07-30",1980,"Male",20,"do_22","ano",1
"69777","1900-08-11",1943,"Male",20,"do_22","ano",1
"69778","1915-09-27",1964,"Male",21,"do_22","ano",1
"69779","1951-07-09",NA,"Male",25,"ostatni","ano",0
"69780","1901-02-27",NA,"Male",19,"do_22","ne",0
"69781","1960-06-12",NA,"Male",32,"26+","ne",0
"69782","1885-07-27",1948,"Male",23,"ostatni","ne",1
"69783","1924-11-16",2014,"Male",24,"ostatni","ano",1
"69784","1902-05-14",1970,"Male",22,"ostatni","ne",1
"69785","1924-05-23",2012,"Male",28,"26+","ano",1
"69786","1892-05-08",1961,"Male",28,"26+","ano",1
"69787","1941-09-05",NA,"Male",23,"ostatni","ne",0
"69788","1937-10-31",NA,"Male",27,"26+","ano",0
"69789","1940-07-25",1993,"Male",24,"ostatni","ne",1
"69790","1906-10-18",1993,"Male",26,"ostatni","ne",1
"69791","1958-04-08",NA,"Male",26,"ostatni","ne",0
"69792","1957-08-29",NA,"Male",27,"26+","ne",0
"69793","1884-10-10",1964,"Male",28,"26+","ne",1
"69794","1959-09-05",NA,"Male",29,"26+","ano",0
"69795","1903-08-02",1986,"Male",25,"ostatni","ano",1
"69796","1962-09-23",NA,"Male",30,"26+","ano",0
"69797","1888-07-06",1966,"Male",24,"ostatni","ne",1
"69798","1883-10-26",1958,"Male",21,"do_22","ano",1
"69799","1970-09-26",NA,"Male",22,"ostatni","ne",0
"69800","1892-09-10",1969,"Male",28,"26+","ne",1
"69801","1956-10-28",NA,"Male",32,"26+","ne",0
"69802","1880-11-06",1962,"Male",24,"ostatni","ano",1
"69803","1915-02-18",2003,"Male",21,"do_22","ano",1
